title,score,developer,publisher,rom_name,size,running_total
Metal Gear Solid 2: Sons of Liberty,9.6,KCEJ,Konami,Metal Gear Solid 2 - Sons of Liberty (USA).iso,4.3 GiB,4.3 GiB
Gran Turismo 3: A-Spec,9.5,Polyphony Digital,SCEA,Gran Turismo 3 - A-Spec (USA) (v1.00).iso,3.6 GiB,7.9 GiB
Virtua Fighter 4,9.4,Sega AM2,Sega,Virtua Fighter 4 (USA).bin,543.4 MiB,8.4 GiB
Metal Gear Solid 3: Subsistence,9.4,Kojima Productions,Konami,"Metal Gear Solid 3 - Subsistence (USA) (En,Es) (Disc 3) (Existence) (Limited Edition).iso",11.5 GiB,19.9 GiB
Virtua Fighter 4: Evolution,9.3,Sega,Sega,Virtua Fighter 4 - Evolution (USA).iso,1.5 GiB,21.4 GiB
SSX (2000),9.3,EA Sports Big,EA Sports Big,SSX 3 (USA).iso,2.8 GiB,24.2 GiB
God Hand,9.2,Clover Studio,Capcom,God Hand (USA).iso,1.5 GiB,25.6 GiB
Final Fantasy XII,9.2,Square Enix,Square Enix,Final Fantasy XII (USA).iso,3.8 GiB,29.4 GiB
Klonoa 2: Lunatea's Veil,9.1,Namco,Namco,Klonoa 2 - Lunatea's Veil (USA) (Trade Demo).bin,171.9 MiB,29.6 GiB
Guitar Hero,9.1,Harmonix Music Systems,RedOctane,Guitar Hero (USA).iso,2.1 GiB,31.7 GiB
Eternal Poison,9.1,Flight-Plan,Atlus,Eternal Poison (USA).iso,4.0 GiB,35.7 GiB
DOA2: Hardcore,9.1,Team Ninja,Tecmo,"DOA2 - Hardcore (USA) (En,Ja,Fr,De,Es,It).iso",4.4 GiB,40.0 GiB
Valkyrie Profile 2: Silmeria,9.0,Tri-Ace,Square Enix,Valkyrie Profile 2 - Silmeria (USA).iso,4.3 GiB,44.4 GiB
Shin Megami Tensei: Persona 4,9.0,Atlus,Atlus,Shin Megami Tensei - Persona 4 (USA).iso,4.1 GiB,48.5 GiB
NCAA Football 2002,9.0,EA Sports,EA Sports,NCAA Football 2002 (USA).bin,673.1 MiB,49.1 GiB
Kingdom Hearts II,9.0,Square Enix,Square Enix,Kingdom Hearts II (USA).iso,3.7 GiB,52.8 GiB
Devil May Cry 3: Dante's Awakening,9.0,Capcom,Capcom,"Devil May Cry 3 - Dante's Awakening (USA) (En,Ja) (Special Edition).iso",4.1 GiB,56.9 GiB
Xenosaga Episode III: Also sprach Zarathustra,8.9,Monolith Soft,Namco Bandai Games,Xenosaga Episode III - Also sprach Zarathustra (USA) (Disc 2).iso,7.9 GiB,64.8 GiB
WWE SmackDown! Here Comes the Pain,8.9,Yuke's,THQ,WWE SmackDown! Here Comes the Pain (USA).iso,4.2 GiB,69.0 GiB
Silent Hill 2 (2001),8.9,KCET,Konami,"Silent Hill 2 (USA) (En,Ja,Fr,De,Es,It) (v2.01).iso",3.6 GiB,72.6 GiB
Shin Megami Tensei: Persona 3 FES,8.9,Atlus,Atlus,Shin Megami Tensei - Persona 3 FES (USA).iso,4.3 GiB,76.9 GiB
Naruto Shippuden: Ultimate Ninja 5,8.9,CyberConnect2,Bandai Namco Games,"Naruto Shippuden - Ultimate Ninja 5 (Europe) (En,Fr,De,Es,It).iso",1.8 GiB,78.7 GiB
Metal Saga,8.9,Crea-Tech,Atlus,Metal Saga (USA).iso,1.6 GiB,80.3 GiB
GrimGrimoire,8.9,Vanillaware,NIS America,"GrimGrimoire (USA) (En,Ja).iso",1.3 GiB,81.6 GiB
Gradius V,8.9,Treasure,Konami,Gradius V (USA).bin,444.3 MiB,82.0 GiB
Genji: Dawn of the Samurai,8.9,Game Republic,SCEA,Genji - Dawn of the Samurai (USA).iso,3.9 GiB,85.9 GiB
Devil May Cry: 5th Anniversary Collection,8.9,Capcom,Capcom,Mega Man Anniversary Collection (USA).iso,3.5 GiB,89.5 GiB
Ace Combat Zero: The Belkan War,8.9,Project Aces ,Namco,Ace Combat Zero - The Belkan War (USA).iso,3.9 GiB,93.4 GiB
Ace Combat 04: Shattered Skies,8.9,Project Aces ,Namco,Ace Combat 04 - Shattered Skies (USA).iso,3.3 GiB,96.7 GiB
.hack//G.U. vol. 3//Redemption,8.9,CyberConnect2,Namco Bandai Games,Dot Hack G.U. Vol. 3 - Redemption (USA).iso,4.0 GiB,100.8 GiB
Yakuza 2,8.8,Amusement Vision,Sega,Yakuza 2 (USA).iso,7.7 GiB,108.5 GiB
Wipeout Fusion,8.8,Studio Liverpool,Bam Entertainment,WipEout Fusion (USA).iso,2.2 GiB,110.6 GiB
Tekken 5,8.8,Namco,Namco,Tekken 5 (USA).iso,4.2 GiB,114.8 GiB
Suikoden III,8.8,KCET,Konami,Suikoden III (USA).iso,4.0 GiB,118.8 GiB
SOCOM 3: U.S. Navy SEALs,8.8,Zipper Interactive,SCEA,SOCOM 3 - U.S. Navy SEALs (USA).iso,3.9 GiB,122.7 GiB
Shadow of Rome,8.8,Capcom,Capcom,Shadow of Rome (USA).iso,4.4 GiB,127.1 GiB
Rule of Rose,8.8,Punchline,Atlus,Rule of Rose (USA).iso,3.2 GiB,130.3 GiB
Resident Evil: The Essentials,8.8,Capcom,Capcom,Resident Evil - Code - Veronica X (USA).iso,1.8 GiB,132.0 GiB
Haunting Ground,8.8,Capcom,Capcom,Haunting Ground (USA).iso,4.3 GiB,136.3 GiB
Growlanser Generations,8.8,Career Soft,Working Designs,Growlanser Generations (USA) (Disc 2) (Growlanser III - The Dual Darkness).bin,1.3 GiB,137.6 GiB
Fatal Frame III: The Tormented,8.8,Tecmo,Tecmo,Fatal Frame III - The Tormented (USA).iso,2.9 GiB,140.5 GiB
Fatal Frame II: Crimson Butterfly,8.8,Tecmo,Tecmo,Fatal Frame II - Crimson Butterfly (USA).iso,3.0 GiB,143.5 GiB
Xenosaga Episode I: Der Wille zur Macht,8.7,Monolith Soft,Namco,Xenosaga Episode I - Der Wille zur Macht (USA).iso,7.9 GiB,151.4 GiB
We Love Katamari,8.7,Now Production,Namco,We Love Katamari (USA).iso,3.3 GiB,154.7 GiB
SOCOM II: U.S. Navy SEALs,8.7,Zipper Interactive,SCEA,SOCOM II - U.S. Navy SEALs (USA).iso,4.1 GiB,158.8 GiB
Shadow Hearts: Covenant,8.7,Nautilus,Midway,Shadow Hearts - Covenant (USA) (Disc 2).iso,7.6 GiB,166.5 GiB
Kingdom Hearts,8.7,SquareSoft,SquareSoft,Kingdom Hearts (USA).iso,2.8 GiB,169.3 GiB
Katamari Damacy,8.7,Now Production,Namco,Katamari Damacy (USA).iso,2.9 GiB,172.2 GiB
Guilty Gear X2,8.7,Arc System Works,Sammy Studios,Guilty Gear X2 (USA).iso,3.8 GiB,176.0 GiB
Fire Pro Wrestling Returns,8.7,S-Neo,Agetec,Fire Pro Wrestling Returns (USA).iso,4.4 GiB,180.4 GiB
Dragon Ball Z: Budokai 3,8.7,Dimps Corporation,Atari SA,Dragon Ball Z - Budokai 3 (USA) (Greatest Hits).iso,4.3 GiB,184.7 GiB
Crash Bandicoot Action Pack,8.7,Various,Sierra Entertainment,Crash Bandicoot - Gatchanko World (Japan).iso,3.1 GiB,187.8 GiB
Urban Reign,8.6,Namco,Namco,Urban Reign (USA).iso,3.9 GiB,191.7 GiB
SoulCalibur III,8.6,Namco,Namco,Soulcalibur III (USA).iso,4.1 GiB,195.8 GiB
Shin Megami Tensei: Persona 3,8.6,Atlus,Atlus,Shin Megami Tensei - Persona 3 (USA).iso,4.2 GiB,200.0 GiB
Shadow Hearts,8.6,Sacnoth,Midway,Shadow Hearts (USA).iso,2.9 GiB,202.8 GiB
Rise to Honor,8.6,SCE Foster City Studio,SCEA,"Jet Li - Rise to Honor (USA) (En,Zh).iso",2.7 GiB,205.5 GiB
Maximo: Ghosts to Glory,8.6,Capcom,Capcom,"Maximo - Ghosts to Glory (Europe) (En,Fr,De,Es,It).iso",2.1 GiB,207.6 GiB
Chulip,8.6,Punchline,Natsume,Chulip (USA).bin,680.0 MiB,208.3 GiB
Amplitude (2003),8.6,Harmonix Music Systems,SCEA,Amplitude (USA).iso,1.6 GiB,209.9 GiB
Yu-Gi-Oh! GX: The Beginning of Destiny,8.5,Konami,Konami,Yu-Gi-Oh! GX - The Beginning of Destiny (USA).iso,4.0 GiB,213.9 GiB
Yu-Gi-Oh! Capsule Monster Coliseum,8.5,WinkySoft,Konami,Yu-Gi-Oh! Capsule Monster Coliseum (USA).iso,1.9 GiB,215.9 GiB
WRC: World Rally Championship,8.5,Evolution Studios,Bam Entertainment,WRC - World Rally Championship (USA).iso,2.6 GiB,218.5 GiB
Transformers (2004),8.5,Melbourne House,Atari SA,Transformers (USA).iso,2.7 GiB,221.2 GiB
The King of Fighters XI,8.5,SNK Playmore,SNK Playmore,"King of Fighters XI, The (USA, Canada).iso",2.3 GiB,223.5 GiB
Tekken Tag Tournament,8.5,Namco,Namco,Tekken Tag Tournament (USA) (v2.00).bin,694.4 MiB,224.2 GiB
Suikoden V,8.5,Konami,Konami,Suikoden V (USA).iso,4.2 GiB,228.4 GiB
