Uncharted 2: Among Thieves	9.6	Naughty Dog	SCEA
The Last of Us	9.5	Naughty Dog	SCEA
Metal Gear Solid 4: Guns of the Patriots	9.4	Kojima Productions	Konami
Metal Gear Solid: The Legacy Collection	9.3	Konami	Konami
Uncharted 3: Drake's Deception	9.2	Naughty Dog	SCEA
The ICO & Shadow of the Colossus Collection	9.2	Bluepoint Games	SCEA
God of War III	9.2	SCE Santa Monica	SCEA
LittleBigPlanet 2	9.1	Media Molecule	SCEA
Killzone 2	9.1	Guerrilla	SCEA
Wipeout HD Fury	8.9	Studio Liverpool	SCEA
Ratchet & Clank Future: Tools of Destruction	8.9	Insomniac Games	SCEA
Demon's Souls (2009)	8.9	From Software	Atlus
Uncharted: Drake's Fortune	8.8	Naughty Dog	SCEA
Ratchet & Clank Future: A Crack in Time	8.8	Insomniac Games	SCEA
Kingdom Hearts HD 2.5 ReMIX	8.8	Square Enix	Square Enix
God of War: Origins Collection	8.8	Ready at Dawn	SCEA
Wipeout HD	8.7	Studio Liverpool	SCEA
Resistance 2	8.7	Insomniac Games	SCEA
Kingdom Hearts HD 1.5 ReMIX	8.7	Square Enix	Square Enix
Soldner-X 2: Final Prototype - The Last Chapter	8.6	SideQuest Studios	EastAsiaSoft
Resistance: Fall of Man	8.6	Insomniac Games	SCEA
PixelJunk Eden Encore	8.6	Q-Games	SCEA
inFamous 2	8.6	Sucker Punch	SCEA
Yakuza 5	8.5	Ryu ga Gotoku Studios	Sega
Tales of Xillia	8.5	Bandai Namco Games	Namco Bandai Games
Super Stardust HD	8.5	Housemarque	SCEA
Metal Gear Online	8.5	Kojima Productions	Konami
inFamous	8.5	Sucker Punch	SCEA
WarHawk	8.4	Incognito Inc.	SCEA
Dynasty Warriors 8: Xtreme Legends	8.4	Omega Force	Tecmo Koei Games
MotorStorm	8.4	Evolution Studios	SCEA
Killzone 3	8.4	Guerrilla	SCEA
Gran Turismo 5	8.4	Polyphony Digital	SCEA
Warhawk - Operation: Broken Mirror	8.3	Incognito Inc.	SCEA
Tales of Symphonia Chronicles	8.3	Bandai Namco Games	Namco Bandai Games
Resistance 3	8.3	Insomniac Games	SCEA
Puppeteer	8.3	SCE Japan Studio	SCEA
inFamous: Festival of Blood	8.3	Sucker Punch	SCEA
Comet Crash	8.3	Pelfast	Pelfast
Tears to Tiara II: Heir of the Overlord	8.2	Aqua Plus	Atlus
Tales of Xillia 2	8.2	Bandai Namco Games	Bandai Namco Games
SingStar (2008)	8.2	SCEE London Studio	SCEA
PixelJunk Shooter 2	8.2	Q-Games	SCEA
PixelJunk Monsters Encore	8.2	Q-Games	SCEA
Gran Turismo HD Concept	8.2	Polyphony Digital	SCEA
Yakuza 4	8.1	Ryu ga Gotoku Studios	Sega
Uncharted 2: Among Thieves - Siege Expansion Pack	8.1	Naughty Dog	SCEA
The Fight: Lights Out	8.1	Coldwood Interactive	SCEA
Ratchet & Clank: Into the Nexus	8.1	Insomniac Games	SCEA
Heavy Rain: Move Edition	8.1	Quantic Dream	SCEA
Heavy Rain Chronicles Episode 1: The Taxidermist	8.1	Quantic Dream	SCEA
Gran Turismo 6	8.1	Polyphony Digital	SCEA
Drakengard 3	8.1	Access Games	Square Enix
Bomberman Ultra	8.1	Hudson	Hudson Entertainment
Tokyo Jungle	8.0	Crispy's	SCEA
Tetris (2009)	8.0	EA Mobile	Electronic Arts
Lumines Supernova	8.0	Q Entertainment	Q Entertainment
Gran Turismo 5 Prologue	8.0	Polyphony Digital	SCEA
God of War: Ascension	8.0	SCE Santa Monica	SCEA
Dynasty Warriors 7 Empires	8.0	Omega Force	Tecmo Koei Games
Chime Super Deluxe	8.0	Zoe Mode	Zoe Mode
Buzz! Quiz TV	8.0	Relentless Software	SCEA
Battle Princess of Arcadias	8.0	ApolloSoft	NIS America
AquaPazza: AquaPlus Dream Match	8.0	Examu	Atlus
The Tomb Raider Trilogy	7.9	Crystal Dynamics	Square Enix
SIREN: Blood Curse	7.9	SCE Japan Studio	SCEA
Saint Seiya: Sanctuary Battle	7.9	Dimps Corporation	Bandai Namco Games
Ridge Racer 7	7.9	Namco Bandai Games	Namco Bandai Games
Rain	7.9	SCE Japan Studio	SCEA
MotorStorm: Apocalypse	7.9	Evolution Studios	SCEA
JoJo's Bizarre Adventure: All-Star Battle	7.9	CyberConnect2	Bandai Namco Games
