title,score,developer,publisher,rom_name,size,running_total
Metal Gear Solid: Peace Walker,8.9,Kojima Productions,Konami,"Metal Gear Solid - Peace Walker (USA) (En,Fr,Es) (v1.01).iso",1.5 GiB,1.5 GiB
Lumines,8.9,Q Entertainment,Ubisoft,Lumines (USA) (v1.01).iso,200.2 MiB,1.7 GiB
Wipeout Pure,8.8,Studio Liverpool,SCEA,"WipEout Pure (USA) (En,Fr,Es) (v2.00).iso",241.2 MiB,2.0 GiB
Ridge Racer,8.8,Namco,Namco,Ridge Racer (USA).iso,864.4 MiB,2.8 GiB
Jeanne d'Arc,8.8,Level 5,SCEA,Jeanne d'Arc (USA).iso,1.2 GiB,4.0 GiB
Final Fantasy VII: Advent Children,8.8,Square Enix,Square Enix,"Final Fantasy II (Japan, Asia) (En,Ja).iso",274.0 MiB,4.2 GiB
Velocity,8.7,FuturLab,FuturLab,Velocity (USA) (minis) (PSN).iso,202.2 MiB,4.4 GiB
Patapon 2,8.7,SCE Japan Studio,SCEA,"Patapon 2 (USA) (En,Fr,Es) (PSN & Store).iso",559.5 MiB,5.0 GiB
Metal Gear Solid: Portable Ops,8.7,Kojima Productions,Konami,Metal Gear Solid - Portable Ops (USA) (v1.02).iso,1.3 GiB,6.3 GiB
Final Fantasy IV: The Complete Collection,8.7,Bullets,Square Enix,"Final Fantasy IV - The Complete Collection (USA) (En,Ja,Fr).iso",840.0 MiB,7.1 GiB
PixelJunk Monsters Deluxe,8.6,Q-Games,SCEA,PixelJunk Monsters Deluxe (USA).iso,210.4 MiB,7.3 GiB
Mega Man Powered Up,8.6,Capcom,Capcom,Mega Man - Powered Up (USA).iso,297.3 MiB,7.6 GiB
Mega Man Maverick Hunter X,8.6,Capcom,Capcom,Mega Man - Maverick Hunter X (USA) (v1.01).iso,448.7 MiB,8.0 GiB
FlatOut: Head On,8.6,Bugbear,Empire Interactive,FlatOut - Head On (USA) (v1.01).iso,429.7 MiB,8.5 GiB
Harvest Moon: Hero of Leaf Valley,8.5,Hyde,Natsume,Harvest Moon - Hero of Leaf Valley (USA).iso,401.9 MiB,8.8 GiB
