title,score,developer,publisher,rom_name,size,running_total
Gran Turismo,9.6,Polyphony Digital,SCEA,Gran Turismo (USA) (Rev 1).bin,661.5 MiB,661.5 MiB
ISS Pro Evolution,9.4,KCET,Konami,ISS Pro Evolution (USA) (Track 01).bin,206.7 MiB,868.2 MiB
Chrono Cross,9.4,SquareSoft,Square EA,Chrono Cross (USA) (Disc 2).bin,1.4 GiB,2.2 GiB
Vagrant Story,9.2,SquareSoft,Square EA,Vagrant Story (USA).bin,715.9 MiB,2.9 GiB
Medal of Honor (1999),9.2,Dreamworks Interactive,Electronic Arts,Medal of Honor (USA).bin,708.2 MiB,3.6 GiB
Xenogears,9.1,SquareSoft,Square EA,Xenogears (USA) (Disc 2).bin,1.3 GiB,4.9 GiB
Suikoden II,9.1,Konami,Konami,Suikoden II (USA).bin,490.1 MiB,5.4 GiB
Spyro: Year of the Dragon,9.1,Insomniac Games,SCEA,Spyro - Year of the Dragon (USA) (Rev 1).bin,634.0 MiB,6.0 GiB
Crash Bandicoot: Warped,9.1,Naughty Dog,SCEA,Crash Bandicoot - Warped (USA).bin,271.9 MiB,6.3 GiB
Colony Wars,9.1,Psygnosis,Psygnosis,Colony Wars (USA) (Disc 2) (Track 1).bin,1.1 GiB,7.4 GiB
WWF SmackDown! 2: Know Your Role,9.0,Yuke's,THQ,WWF SmackDown! 2 - Know Your Role (USA).bin,711.7 MiB,8.1 GiB
Wipeout 3,8.9,Psygnosis,Psygnosis,WipEout 3 (USA) (Track 01).bin,51.5 MiB,8.1 GiB
Final Fantasy Chronicles,8.9,TOSE,Square EA,Final Fantasy IX (USA) (Disc 4) (Rev 1).bin,2.7 GiB,10.8 GiB
Einhander,8.9,SquareSoft,SCEA,Einhaender (USA).bin,623.2 MiB,11.4 GiB
Silent Hill,8.8,KCET,Konami,Silent Hill (USA).bin,587.9 MiB,12.0 GiB
Parasite Eve,8.8,SquareSoft,Square EA,Parasite Eve (USA) (Disc 2).bin,1.1 GiB,13.0 GiB
Tenchu: Stealth Assassins,8.7,Acquire,Activision,Tenchu - Stealth Assassins (USA) (Rev 1).bin,660.9 MiB,13.7 GiB
Ace Combat 2,8.7,Namco,Namco,Ace Combat 2 (USA).bin,553.9 MiB,14.2 GiB
Vanguard Bandits,8.6,S-Neo,Working Designs,Vanguard Bandits (USA).bin,544.5 MiB,14.7 GiB
Tenchu 2: Birth of the Stealth Assassins,8.6,Acquire,Activision,Tenchu 2 - Birth of the Stealth Assassins (USA).bin,709.6 MiB,15.4 GiB
Lunar 2: Eternal Blue,8.6,Game Arts,Working Designs,Lunar 2 - Eternal Blue (Japan) (Disc 3).bin,2.0 GiB,17.4 GiB
Final Fantasy Anthology,8.6,SquareSoft,Square EA,Final Fantasy IX (USA) (Disc 4) (Rev 1).bin,2.7 GiB,20.1 GiB
Dragon Valor,8.6,Namco,Namco,Dragon Valor (USA) (Disc 2) (Track 1).bin,1.2 GiB,21.3 GiB
Alundra,8.6,Matrix Software,Working Designs,Alundra (USA) (Rev 1).bin,572.5 MiB,21.8 GiB
Saiyuki: Journey West,8.5,Koei,Koei,Saiyuki - Journey West (USA).bin,498.0 MiB,22.3 GiB
Parasite Eve II,8.5,SquareSoft,Square EA,"Parasite Eve II (USA, Canada) (Disc 2).bin",1.1 GiB,23.4 GiB
